""85055144-3bda-4aaf-84df-18b2435dc5fd""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""d6d95b8e-deec-40dd-9d13-4afb005b83c0""|1|""|"" ""
""b9ff2ff8-a5f7-425d-b089-0e8d47076dcc""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""35fe1276-b104-4c93-b789-f1f478b311fb""|1|""iris_stations_1442814016.jpg""|"" ""
""aa96d38b-08d9-4b94-9211-a842a4bbc229""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""abbd7f03-06f5-4138-98f3-569951069605""|1|""City-Auckland_1442202606.jpg""|"" ""
""8a6539ca-66a2-4e06-b37b-3bb69ee851d5""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""abbd7f03-06f5-4138-98f3-569951069605""|2|""AD247-Sky-Tower-Auckland-MarkDowney_1442203516.jpg""|"" ""
""b3bd62a8-0a43-47b7-8fd4-7661d2996b32""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""abbd7f03-06f5-4138-98f3-569951069605""|3|""View-from-Mud-Brick-—-at-Waiheke-Island._1442203530.jpg""|"" ""
""6e058f7c-8d98-41fe-81ad-eb0385b89213""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f2cf1a1a-60ad-46cf-bb62-0318d3c53643""|1|""Rotorua Alice_1441420206.png""|"" ""
""cc0dca7e-cd3d-4cc4-ad96-e8268795c2aa""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f2cf1a1a-60ad-46cf-bb62-0318d3c53643""|2|""Rotorua Alice 1_1441420320.png""|"" ""
""6a63b9ca-9f97-4338-9a6a-10891e201057""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0d139ab-c25d-42de-9595-92e162ece4fc""|1|""AD109-Auckland-Bridge-Auckland-AJ-Hackett-Bungy-New-Zealand_1442203593.jpg""|"" ""
""42de002c-5684-4be8-972f-d0cf506fbecf""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0d139ab-c25d-42de-9595-92e162ece4fc""|2|""Auckland from Birkenhead Wharf_1442203602.jpg""|"" ""
""b4008f9f-e72c-4a7a-a49d-cbb9ce445a71""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0d139ab-c25d-42de-9595-92e162ece4fc""|3|""APS1542-Auckland-Harbour-Auckland-Julian-Apse_1442203607.jpg""|"" ""
""f707b17d-668b-4cc2-8689-1daf5eacaf38""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0d139ab-c25d-42de-9595-92e162ece4fc""|4|""L336-Medlands-Beach-Auckland-Scott-Venning_1442203631.jpg""|"" ""
""2f54fe29-0bc8-4467-968e-980100b6e737""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""a0d139ab-c25d-42de-9595-92e162ece4fc""|5|""Sandy-Bay-Waiheke-Island-â€”-at-Waiheke-Island._1442203644.jpg""|"" ""
""a90b20f1-dd46-43c5-89ae-c494b0e8aae0""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""34f89a65-1b89-4132-a51a-fcbf16a5f0c0""|1|""7129-Akaroa-Canterbury-Julian-Apse_1442187864.jpg""|"" ""
""f5243aeb-b9f2-4413-b5b3-89fa9c4b54d7""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""34f89a65-1b89-4132-a51a-fcbf16a5f0c0""|2|""iris_stations_1443772379.JPG""|"" ""
""2d566783-be0e-4047-b4d9-35e2765384cb""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""34f89a65-1b89-4132-a51a-fcbf16a5f0c0""|3|""iris_stations_1443772405.JPG""|"" ""
""e59d5483-a1fd-419c-903d-fb52142dccd2""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2973a410-c0ef-4f5a-9ab0-16ad014756be""|1|""Birdcage-Auckland_1442202439.jpg""|"" ""
""1c267307-1c02-4d57-92b0-7bd0c616b852""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2973a410-c0ef-4f5a-9ab0-16ad014756be""|2|""Sky-Tower-Abstract-Auckland_1442202453.jpg""|"" ""
""677a9295-359d-4cd8-97ae-4b0ec6c24e39""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2973a410-c0ef-4f5a-9ab0-16ad014756be""|3|""View-from-Mud-Brick-—-at-Waiheke-Island._1442202492.jpg""|"" ""
""cd1ea106-a212-4cfe-89b7-ec29a756ce4f""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2973a410-c0ef-4f5a-9ab0-16ad014756be""|4|""Mud-Brick-Vineyard-and-Restaurant-Church-Bay-—-at-Waiheke-Island._1442284089.jpg""|"" ""
""18a76ea7-ce2e-4184-a91e-4ffd5d8a8707""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""2973a410-c0ef-4f5a-9ab0-16ad014756be""|5|""iris_stations_1443919009.jpg""|"" ""
""099cae09-b337-4cd8-bd50-4675a9eba278""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""3a8cf3f5-4e4a-44fa-80c0-8f4f6ceb78d4""|1|""|"" ""
""295ff98e-653e-4600-b1db-7aa3032bd759""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""f1bf9f94-c8c1-4827-ac82-1ea131bdc460""|1|""|"" ""
""431d339d-639f-4ace-bdfe-4728fd3925b1""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""4597847d-f181-4ec4-9f91-d39254a77480""|1|""|"" ""
""f822b984-27cc-4594-b729-57484eebf20b""|""1970-01-01 00:00:00.000000 +00:00""|""1970-01-01 00:00:00.000000 +00:00""|""230f9f53-214a-42ec-ae28-dfe9dc93841a""|1|""0534-Larnach-Castle-Dunedin-Derek-Morrison_1442196356.jpg""|"" ""
